execution_id,model,time_model_python
120fe1c3-afe2-46f3-b672-c29db70ef33b,Polyfit,95
120fe1c3-afe2-46f3-b672-c29db70ef33b,CrossCorrelation,15
120fe1c3-afe2-46f3-b672-c29db70ef33b,Multireg,32
0675636b-5e3f-4022-8f06-5d0247e85ad2,Polyfit,107
0675636b-5e3f-4022-8f06-5d0247e85ad2,CrossCorrelation,17
0675636b-5e3f-4022-8f06-5d0247e85ad2,Multireg,36
62791efb-a546-4bab-9995-61095e65c938,Polyfit,5
62791efb-a546-4bab-9995-61095e65c938,CrossCorrelation,2
62791efb-a546-4bab-9995-61095e65c938,Multireg,10
6afad122-fe02-436f-b345-e77559ed7a4e,Polyfit,8
6afad122-fe02-436f-b345-e77559ed7a4e,CrossCorrelation,2
6afad122-fe02-436f-b345-e77559ed7a4e,Multireg,10
1956bcaf-281f-4421-a0c5-1b54ae8bb951,Polyfit,12
1956bcaf-281f-4421-a0c5-1b54ae8bb951,CrossCorrelation,2
1956bcaf-281f-4421-a0c5-1b54ae8bb951,Multireg,10
8b6873fe-f7c3-48cc-b702-a083b5c16467,Polyfit,12
8b6873fe-f7c3-48cc-b702-a083b5c16467,CrossCorrelation,3
8b6873fe-f7c3-48cc-b702-a083b5c16467,Multireg,10
92c781e6-9afd-4fe2-ad5c-164acc73be38,Polyfit,13
92c781e6-9afd-4fe2-ad5c-164acc73be38,CrossCorrelation,3
92c781e6-9afd-4fe2-ad5c-164acc73be38,Multireg,10
8d858018-d984-4e25-abfe-90916949fa6e,Polyfit,26
8d858018-d984-4e25-abfe-90916949fa6e,CrossCorrelation,5
8d858018-d984-4e25-abfe-90916949fa6e,Multireg,18
98e1433c-87d6-46ca-aa37-ba57be1c6714,Polyfit,30
98e1433c-87d6-46ca-aa37-ba57be1c6714,CrossCorrelation,6
98e1433c-87d6-46ca-aa37-ba57be1c6714,Multireg,18
863323d7-6f05-4f65-9206-1157fe77c823,Polyfit,32
863323d7-6f05-4f65-9206-1157fe77c823,CrossCorrelation,6
863323d7-6f05-4f65-9206-1157fe77c823,Multireg,17
65b02949-184f-4a7d-8a3b-9ea96cf23308,Polyfit,34
65b02949-184f-4a7d-8a3b-9ea96cf23308,CrossCorrelation,8
65b02949-184f-4a7d-8a3b-9ea96cf23308,Multireg,36
f1256370-f08d-4450-9803-ebb318a288b9,Polyfit,92
f1256370-f08d-4450-9803-ebb318a288b9,CrossCorrelation,15
f1256370-f08d-4450-9803-ebb318a288b9,Multireg,32
494cdcf0-147e-4ae6-9cf0-aaa637db2678,Polyfit,141
494cdcf0-147e-4ae6-9cf0-aaa637db2678,CrossCorrelation,19
494cdcf0-147e-4ae6-9cf0-aaa637db2678,Multireg,44
b48ca666-861f-477a-8366-95e9bf2ae63c,Polyfit,6
b48ca666-861f-477a-8366-95e9bf2ae63c,CrossCorrelation,2
b48ca666-861f-477a-8366-95e9bf2ae63c,Multireg,10
00cbb856-f1c1-4fd4-8c21-5fc72edc3487,Polyfit,8
00cbb856-f1c1-4fd4-8c21-5fc72edc3487,CrossCorrelation,3
00cbb856-f1c1-4fd4-8c21-5fc72edc3487,Multireg,12
c675b97d-cdad-43c2-9ee5-57318a11d8d6,Polyfit,14
c675b97d-cdad-43c2-9ee5-57318a11d8d6,CrossCorrelation,2
c675b97d-cdad-43c2-9ee5-57318a11d8d6,Multireg,10
f4c7dca3-0c90-4dbc-9104-d210a9994ac5,Polyfit,5
f4c7dca3-0c90-4dbc-9104-d210a9994ac5,CrossCorrelation,2
f4c7dca3-0c90-4dbc-9104-d210a9994ac5,Multireg,11
311f2c7b-0c74-4d40-b0f1-3c1ae5a5972e,Polyfit,5
b94c0b71-061a-4128-9d72-55260e13fbb9,CrossCorrelation,2
d86d56bb-31a0-492a-844b-aa4220ca3e66,Multireg,10
80e8da77-8bee-4412-9cba-9b9cc4d969cd,Multireg,10
