execution_id,model,time
a591a76e-0e7f-4047-98c6-7b8f94462330,randomForest,1
d671f99d-508e-41c9-bf72-bf8877386ce9,pivot,1
d671f99d-508e-41c9-bf72-bf8877386ce9,univariateTS,36
d671f99d-508e-41c9-bf72-bf8877386ce9,timeDecisionTree,16
d671f99d-508e-41c9-bf72-bf8877386ce9,timeRandomForest,16
d671f99d-508e-41c9-bf72-bf8877386ce9,decisionTree,1
d671f99d-508e-41c9-bf72-bf8877386ce9,randomForest,1
5f90ddcf-ce17-4538-91aa-911275bbcf65,pivot,1
5f90ddcf-ce17-4538-91aa-911275bbcf65,univariateTS,37
5f90ddcf-ce17-4538-91aa-911275bbcf65,timeDecisionTree,17
5f90ddcf-ce17-4538-91aa-911275bbcf65,timeRandomForest,16
5f90ddcf-ce17-4538-91aa-911275bbcf65,decisionTree,1
5f90ddcf-ce17-4538-91aa-911275bbcf65,randomForest,1
58b5ef3d-0a14-4743-8ee0-0484c4588c6c,pivot,1
58b5ef3d-0a14-4743-8ee0-0484c4588c6c,univariateTS,39
58b5ef3d-0a14-4743-8ee0-0484c4588c6c,timeDecisionTree,16
58b5ef3d-0a14-4743-8ee0-0484c4588c6c,timeRandomForest,16
58b5ef3d-0a14-4743-8ee0-0484c4588c6c,decisionTree,1
58b5ef3d-0a14-4743-8ee0-0484c4588c6c,randomForest,1
83fe358c-3e0c-4bda-a19f-59fc6a2866d7,pivot,1
83fe358c-3e0c-4bda-a19f-59fc6a2866d7,univariateTS,41
83fe358c-3e0c-4bda-a19f-59fc6a2866d7,timeDecisionTree,17
83fe358c-3e0c-4bda-a19f-59fc6a2866d7,timeRandomForest,16
83fe358c-3e0c-4bda-a19f-59fc6a2866d7,decisionTree,1
83fe358c-3e0c-4bda-a19f-59fc6a2866d7,randomForest,1
331434fb-412a-4ab5-86bc-64b38ffab9fd,decisionTree,2
331434fb-412a-4ab5-86bc-64b38ffab9fd,randomForest,1
8ed8c3a4-1af3-4840-a04b-bbecf24df5d7,decisionTree,2
8ed8c3a4-1af3-4840-a04b-bbecf24df5d7,randomForest,1
